price,carat,table,cut,color,clarity,size
4541,1.02,59.0,4,5,2,162.48388500000001
11636,1.56,56.0,5,3,4,257.37
457,0.34,56.0,3,2,4,55.64077199999999
3215,0.96,60.0,4,4,2,149.500091
942,0.31,55.0,4,7,4,50.7384
2060,0.64,62.0,3,4,5,103.868352
7882,1.01,58.0,4,5,7,162.406965
706,0.35,57.0,5,3,6,57.356544
2373,0.7,60.0,4,5,2,111.769152
675,0.3,54.0,5,3,5,50.55047999999999
3137,0.71,56.0,5,3,7,118.54375399999999
871,0.31,57.0,5,4,8,51.883728000000005
9072,2.25,54.0,5,6,1,375.532632
5088,1.18,56.0,4,2,3,190.85118799999998
6409,1.22,58.0,3,4,2,197.78272800000002
12830,1.72,57.0,5,4,4,277.17786
18394,2.01,56.0,5,5,2,332.6211839999999
5581,1.03,60.0,4,4,3,167.83458
2671,0.7,56.0,5,5,4,116.35266999999999
5379,1.01,59.0,2,6,3,157.28008799999998
5242,1.0,59.0,1,3,5,160.11827999999997
10487,1.1,56.0,5,5,6,184.04244
4208,0.59,57.0,5,7,8,96.76259999999999
608,0.3,59.0,3,3,4,48.242459999999994
1930,0.56,55.0,5,6,5,91.4641
3936,0.9,62.0,4,5,3,144.18986
1732,0.57,58.0,3,6,4,93.02182499999999
2328,0.72,57.0,5,7,2,118.26432000000001
3511,1.0,57.0,1,3,3,158.608368
1043,0.4,53.0,5,4,7,67.34740000000001
4831,1.22,58.0,4,2,2,197.965
8955,1.02,57.0,5,4,8,168.43385
5625,1.08,56.0,5,3,4,175.24786999999998
1052,0.33,58.0,4,4,8,53.225640000000006
1167,0.42,56.0,3,6,6,70.87752
6597,1.36,53.0,3,5,3,222.74475
2088,0.58,56.0,5,5,5,95.023712
4964,1.02,58.0,2,4,3,164.07603
6937,1.19,60.0,2,6,4,192.71700000000004
15394,2.01,55.0,2,7,2,320.10573000000005
4915,1.15,63.0,3,5,2,183.17554199999998
2853,0.79,60.0,4,7,2,132.865623
842,0.32,59.0,4,7,4,52.6361
749,0.31,56.0,5,5,4,51.25256999999999
1813,0.54,58.0,3,5,5,88.03200000000001
1627,0.5,60.0,3,7,4,80.84007199999999
11416,1.86,57.0,3,3,2,299.56856
5447,1.04,58.0,3,3,4,171.171
10581,1.41,55.0,5,4,4,230.31360000000004
499,0.3,54.0,5,6,3,50.17464
610,0.33,55.0,5,3,5,54.94720000000001
6055,1.06,54.0,5,7,3,175.09459999999996
372,0.31,54.1,5,2,2,50.55047999999999
3344,0.91,60.0,2,4,3,144.53236800000002
2083,0.75,56.0,3,1,3,121.77535200000001
886,0.3,57.0,3,5,8,48.72588
1582,0.41,57.0,5,7,7,67.18549800000001
3083,1.01,62.0,4,3,2,159.336043
7657,1.02,58.0,3,4,7,166.25408000000002
527,0.27,53.0,5,4,5,45.31904000000001
2196,0.7,56.0,3,5,3,115.255712
9297,1.51,57.0,5,2,4,244.660416
13703,2.22,57.0,5,1,2,360.47075399999994
1422,0.54,58.0,4,4,4,89.71619999999999
5283,1.23,58.0,4,7,2,200.24043300000002
3795,0.9,57.0,2,6,3,145.11744000000002
2882,0.88,65.0,1,5,3,145.38528
2208,0.7,56.0,1,4,2,112.52696
558,0.31,58.0,4,3,3,50.69163399999999
6371,1.25,55.0,5,4,2,206.95292999999998
4242,1.01,59.0,4,4,2,164.59232999999998
506,0.3,57.0,3,5,2,48.245149999999995
487,0.28,59.0,3,6,5,47.960055
1227,0.51,59.0,4,5,2,82.048255
1232,0.52,58.0,5,2,4,84.770422
2153,0.52,58.0,4,4,7,88.035552
447,0.3,57.0,2,7,2,49.64177999999999
1398,0.51,58.0,3,7,3,82.28939600000001
1241,0.42,59.0,4,7,6,67.094104
14749,1.82,60.0,4,3,4,287.83821600000005
2845,0.7,60.0,3,6,4,117.32292
12207,1.37,55.5,5,4,6,222.99290999999997
4095,1.0,59.0,4,4,2,159.06996
5722,1.2,57.0,5,4,2,195.848884
7964,1.01,59.0,4,6,5,162.60961200000003
1035,0.5,58.0,5,3,3,81.35017800000001
7744,1.0,59.0,4,6,5,167.747076
1061,0.31,56.0,5,5,8,52.152660000000004
845,0.4,58.0,3,7,4,63.432852000000004
544,0.32,55.0,3,4,4,52.732133999999995
14578,1.54,59.0,4,5,4,253.330308
2964,1.05,58.0,4,6,1,168.313362
5821,1.05,59.0,4,4,4,173.22335999999996
6028,1.0,55.0,2,4,5,160.455256
608,0.3,59.0,3,2,5,47.43522
658,0.3,57.0,3,6,4,47.865359999999995
7492,1.0,56.0,2,4,6,167.566608
1092,0.39,55.0,4,5,5,64.978848
462,0.31,56.0,3,4,3,50.76064
435,0.31,58.0,4,4,4,51.56054999999999
1646,0.6,58.0,5,5,3,96.631256
523,0.31,57.0,5,4,2,50.83760000000001
710,0.3,61.0,3,7,4,47.52775
1230,0.41,55.0,5,4,7,67.205616
621,0.33,58.0,4,4,5,55.324799999999996
2895,0.7,59.0,3,5,5,115.08364799999998
707,0.28,57.0,3,6,7,45.644819999999996
1995,0.7,55.0,3,2,5,112.43903999999999
952,0.35,57.0,5,7,5,58.77888300000001
5622,1.0,57.0,5,4,3,164.167192
4150,0.76,60.0,4,5,8,122.66514
3634,1.0,59.0,1,4,3,157.316808
4844,1.0,59.0,3,4,3,157.272015
4177,1.03,58.0,2,7,2,168.16404
576,0.25,59.0,3,5,6,40.13780400000001
5347,1.1,57.0,5,3,4,183.06946
7708,1.03,56.0,5,4,7,169.248
4173,1.14,55.0,3,1,3,184.8924
10144,1.1,56.0,5,7,5,177.88964199999998
2351,0.73,57.0,4,5,2,119.22944
2487,0.71,59.0,5,3,5,115.85789999999999
4407,0.7,61.0,2,7,7,113.262864
12255,1.33,54.0,5,4,7,217.07805599999998
5506,1.15,58.0,4,3,3,187.566912
2896,0.53,56.0,5,5,7,87.129672
6149,1.3,58.0,3,5,2,209.71828800000003
8693,1.05,59.0,4,5,6,170.0352
1608,0.57,59.0,4,4,4,93.546474
1885,0.63,57.0,3,7,3,100.54044
3638,0.91,59.0,3,6,2,148.36499999999998
8693,1.2,60.0,4,7,4,189.536256
5077,1.01,61.0,4,6,3,164.80846200000002
5161,1.05,58.0,4,3,3,172.74904500000002
641,0.34,55.0,5,5,4,56.12085
5439,1.19,57.0,4,2,4,194.48855999999998
1720,0.52,58.0,4,7,3,87.35865600000001
942,0.53,58.0,2,2,2,84.10651200000002
9625,1.11,57.0,5,6,4,181.78440000000003
918,0.32,57.0,5,4,8,52.74801000000001
807,0.36,55.0,5,5,4,59.282039999999995
4454,1.03,56.0,5,5,2,167.7016
668,0.33,60.0,4,2,5,54.9567
2956,0.7,57.0,3,5,4,114.933735
900,0.32,55.0,5,6,4,53.525352000000005
17476,2.01,60.0,3,3,3,334.191
645,0.32,56.0,5,4,5,52.50879
3246,0.9,56.0,2,4,2,145.48953600000002
7781,1.08,57.0,5,5,4,179.268488
907,0.31,57.0,5,3,7,50.362559999999995
5241,1.02,58.0,4,3,4,166.505493
984,0.35,55.0,5,6,4,56.669188000000005
586,0.32,55.0,5,5,3,54.954336000000005
14659,2.53,60.0,4,3,2,399.09177
1668,0.55,55.0,5,6,3,90.154296
2211,0.58,57.0,5,3,8,94.63014
1622,0.52,58.0,4,6,4,85.93936000000001
3380,0.7,62.0,2,4,7,114.7704
1401,0.52,55.0,5,3,4,87.1936
764,0.3,54.0,5,4,7,50.57402
3041,0.71,55.0,5,5,5,117.37045499999999
917,0.4,53.0,5,4,6,66.867768
2611,1.02,55.0,5,1,2,166.088186
810,0.33,59.0,3,5,6,54.48036
4616,1.01,59.0,4,5,2,156.92054399999998
717,0.32,55.0,3,5,6,52.851708
14256,1.5,60.0,3,6,4,240.740961
6058,1.02,57.0,2,4,4,165.219032
1129,0.33,57.0,5,6,8,53.77113000000001
2134,0.65,58.0,4,7,3,105.617226
873,0.3,58.0,5,5,8,51.454128000000004
5529,1.21,58.0,4,4,2,200.74032
2487,0.7,54.0,5,2,6,114.12717500000001
1443,0.51,59.0,4,4,4,83.218905
16921,1.54,59.0,4,7,4,244.73550600000002
792,0.43,59.0,3,5,3,70.33107900000002
780,0.33,60.0,4,2,7,53.650296000000004
3972,0.9,61.0,2,2,7,139.64065499999998
1015,0.41,56.0,3,6,3,66.89467200000001
871,0.31,56.0,5,4,8,50.47914
11650,1.54,60.0,3,5,3,254.66727
6709,1.04,57.0,5,4,4,169.79787000000002
2054,0.62,54.0,5,6,3,103.22298
4304,0.9,57.0,3,7,3,146.17258500000003
651,0.36,55.0,5,3,5,60.012414
1114,0.3,55.0,5,5,7,49.899456
7722,1.4,59.0,4,2,5,229.32958199999996
10255,1.7,56.0,3,3,2,277.11403199999995
666,0.33,56.0,5,4,5,53.893060000000006
7345,1.06,57.0,5,5,5,173.22457500000002
702,0.4,61.0,3,4,3,65.29671199999999
4624,1.1,57.0,5,1,2,185.25698799999998
3226,0.9,57.0,1,3,4,143.62397499999997
730,0.32,59.0,4,4,6,52.62732000000001
1002,0.33,57.0,5,6,5,53.99007
2523,0.73,60.0,3,6,3,115.61595000000001
10688,1.51,62.0,4,4,3,231.2576
16337,2.07,55.0,5,2,2,338.404248
3752,1.0,59.0,4,6,2,157.59168
4316,1.04,58.0,3,3,3,165.474764
8870,1.21,55.0,4,5,4,202.47543799999997
2946,0.72,57.0,5,3,7,116.59977
3002,0.83,58.0,3,6,3,135.763496
4883,1.17,55.0,5,1,3,192.10145799999998
598,0.28,57.0,5,5,5,46.258857000000006
1813,0.53,56.0,5,6,4,86.66736
3276,1.0,63.0,3,2,2,157.680872
1294,0.46,58.0,4,6,5,75.92508000000001
803,0.34,56.0,5,7,3,56.102596000000005
658,0.3,58.0,3,6,4,47.594848000000006
6666,1.01,58.0,3,6,4,165.10922399999998
6738,1.26,57.0,5,4,3,209.839872
819,0.36,56.0,5,5,5,61.094879999999996
12257,2.01,59.0,2,1,3,323.898768
882,0.4,57.0,3,6,3,66.33016
663,0.42,57.0,5,1,5,69.24771000000001
3423,0.91,60.0,4,4,2,144.98265999999998
2096,0.51,54.0,5,4,8,84.96998400000001
758,0.32,57.0,3,7,4,52.013597999999995
15278,1.77,58.0,4,6,4,286.122726
737,0.3,58.0,4,5,6,49.52388
7915,1.51,59.0,3,7,2,237.37079999999997
5206,1.01,57.0,5,6,3,166.34648800000002
11380,1.58,58.0,4,4,5,261.637344
2813,0.91,58.0,4,4,2,149.39379000000002
2862,0.7,55.0,3,7,3,115.459344
571,0.31,54.0,5,7,3,51.278891
2858,0.71,60.0,4,6,4,115.163136
7308,1.5,58.0,2,1,4,238.93704000000002
565,0.31,56.0,5,7,3,51.722244
846,0.31,57.0,5,3,7,50.17464
5485,1.06,58.0,4,6,3,171.963414
716,0.32,54.0,5,5,5,52.98696
5077,1.01,58.0,3,6,3,164.445372
3126,0.57,56.0,5,7,7,93.815995
4400,0.9,58.0,3,5,4,143.158522
1298,0.46,56.0,5,7,4,76.41810000000001
4592,0.9,59.0,3,3,5,144.622332
14236,1.36,58.0,3,7,6,227.53462199999998
1163,0.54,54.0,2,6,2,88.37598
6036,1.16,54.0,5,3,3,190.0584
13996,2.13,58.0,3,1,3,340.08115200000003
904,0.43,56.0,5,5,4,70.912335
2059,0.7,63.0,2,5,3,110.86901999999999
3294,1.01,59.0,1,6,2,154.14279599999998
1341,0.6,61.0,4,3,3,99.0275
4508,0.9,59.0,2,5,5,140.186043
2376,0.71,56.0,5,2,3,116.70921299999999
1095,0.32,55.0,5,6,8,53.118449999999996
967,0.38,58.0,3,3,7,62.774879999999996
485,0.24,58.0,3,7,6,39.556062000000004
5599,1.01,54.0,5,6,3,167.07665
3669,0.9,60.0,2,4,3,143.90027600000002
878,0.41,55.0,5,2,5,68.42761200000001
1914,0.7,62.0,4,2,3,112.3206
1262,0.5,60.0,4,6,2,79.27389
5646,1.01,58.0,5,5,3,162.25266
945,0.42,57.0,3,4,3,69.00186599999999
9414,1.7,57.0,5,1,4,276.02288
1244,0.52,57.0,2,4,3,83.58733600000002
1059,0.4,60.0,2,6,6,66.29331600000002
5624,1.21,56.0,5,3,2,197.26696799999996
3481,0.9,61.0,3,3,2,145.71072
3003,0.65,58.0,4,7,6,108.597633
3853,1.01,57.0,2,1,3,169.009308
3332,0.92,56.0,5,1,5,149.627156
1052,0.33,55.0,5,4,8,54.701625
1593,0.51,55.0,5,5,3,85.38458399999999
9039,1.04,58.0,4,4,8,166.436692
4340,1.07,60.0,3,4,2,167.4368
8067,1.22,55.0,5,4,4,201.051978
2456,0.71,57.0,3,2,7,115.5312
3454,0.78,57.0,5,7,2,127.78365600000002
4133,0.9,55.0,5,3,4,147.846912
734,0.31,56.0,5,7,4,50.82834400000001
3153,0.92,64.0,2,6,2,146.27536
1218,0.43,55.0,5,2,5,72.21424
545,0.3,55.0,5,4,4,50.871509999999994
2693,0.7,55.0,5,6,4,116.59977
842,0.32,58.0,4,6,6,52.03224
1733,0.46,56.0,5,4,8,75.07009599999999
665,0.3,57.0,5,4,6,49.29724800000001
832,0.38,54.6,5,3,6,62.219388
18115,2.04,61.0,4,3,3,327.414528
1244,0.47,61.0,4,3,5,77.37407999999999
1857,0.53,55.0,5,7,4,87.73952600000001
2897,0.6,57.0,3,7,6,100.54868400000001
2863,0.71,55.0,5,6,4,117.18959999999998
709,0.45,54.0,5,4,2,74.128725
4368,1.04,60.0,4,2,3,168.89999699999996
4370,1.02,59.0,4,4,2,163.5816
2453,0.75,55.0,2,6,2,122.51456000000002
1153,0.41,59.0,4,6,5,66.3984
1333,0.4,57.0,5,6,7,64.584232
1828,0.7,56.0,1,6,2,111.090075
6777,1.08,58.0,3,4,4,180.71707500000002
10317,1.23,56.0,5,4,6,199.364112
1273,0.55,56.0,5,6,2,89.40554999999999
625,0.31,56.0,3,5,4,50.34096
6301,1.02,58.0,3,4,5,164.753256
1141,0.64,54.0,2,1,2,102.43695
552,0.3,59.0,4,7,3,49.311080000000004
876,0.41,58.0,4,7,2,66.925008
2624,0.76,60.0,5,5,2,122.184516
1235,0.44,59.0,4,4,7,72.912
1967,0.64,55.0,3,7,3,105.19691999999999
779,0.3,54.4,5,6,6,49.783680000000004
920,0.38,56.0,5,6,5,62.724998000000014
1064,0.38,60.0,5,3,8,63.67166399999999
1397,0.4,57.0,5,6,7,64.39041
936,0.32,55.0,5,4,6,53.018784000000004
12738,1.51,57.0,5,7,3,252.09727199999998
16319,2.04,56.0,5,3,2,342.66592599999996
5040,1.2,55.0,5,1,5,192.889164
1271,0.39,56.0,3,4,8,64.27788000000001
4565,1.09,55.0,5,1,3,179.881896
3999,1.01,57.0,5,2,3,169.114176
8414,1.2,54.0,5,4,4,194.788125
6794,1.01,62.0,2,5,5,167.98847999999995
1240,0.54,56.0,5,3,3,88.72305
10519,1.51,59.0,4,3,3,248.42025
914,0.31,55.0,5,5,8,51.752328000000006
1841,0.51,57.0,5,6,5,83.68647000000001
622,0.3,57.0,3,6,6,50.720842
16431,2.05,58.0,4,3,2,331.984576
5353,1.03,60.0,3,4,3,173.44904400000001
2224,0.72,55.0,5,5,2,119.18714999999999
6097,1.01,61.0,4,5,4,162.9212
999,0.41,57.0,5,6,4,67.12076
5446,1.31,60.0,4,1,3,211.62491199999997
4295,1.0,60.0,4,7,2,161.65699500000002
589,0.32,61.0,3,2,7,52.082800000000006
789,0.31,54.0,5,4,7,52.658928
10512,1.14,55.0,5,6,6,186.911076
926,0.39,56.0,3,3,7,64.46990000000001
3131,0.7,60.0,3,7,4,116.378592
1167,0.31,59.0,4,7,8,51.42006999999999
5068,1.0,58.0,2,4,4,155.626848
5842,1.17,57.0,5,7,2,189.55104
396,0.31,55.0,5,1,4,50.85504000000002
984,0.5,55.0,3,3,3,81.51024199999999
1815,0.52,58.0,4,6,4,84.847455
684,0.3,58.0,4,4,6,49.09304399999999
605,0.3,57.0,2,4,5,48.65346
5113,1.01,59.0,3,4,3,161.18275200000002
694,0.33,55.0,5,2,8,53.8461
2136,0.7,58.0,3,2,3,111.848958
594,0.33,61.0,4,2,4,53.543638
7362,1.2,57.0,4,6,3,199.089144
1357,0.52,62.0,2,5,3,80.47104000000002
664,0.29,57.0,3,5,6,48.81273999999999
4205,0.84,54.0,3,7,3,143.68872000000002
660,0.38,54.0,3,5,3,63.839811000000005
5491,1.06,60.0,3,5,3,174.85300800000002
568,0.36,56.0,5,2,5,59.31197999999999
4641,1.12,57.0,4,3,2,181.917776
7665,1.01,57.0,2,6,5,165.25620999999998
8580,1.5,56.0,5,4,2,244.84478399999995
2608,0.81,59.0,2,6,1,129.55643999999998
2777,0.7,58.0,4,6,3,113.19047200000001
733,0.44,57.0,5,3,3,73.28832
8602,1.2,58.0,4,4,5,197.14589999999998
743,0.41,55.0,5,3,4,67.82581
706,0.32,55.0,2,7,3,52.72548
1918,0.7,56.0,3,2,3,113.72495999999998
6332,1.26,58.0,5,1,5,204.245184
3557,0.83,60.0,4,5,4,134.26014
1333,0.4,56.0,5,6,7,65.58145
7130,1.23,55.0,5,3,4,198.25612499999997
9384,1.5,57.0,3,4,2,242.592975
5759,1.01,56.0,3,6,3,159.866682
13156,2.75,57.0,5,7,1,445.673808
847,0.42,58.0,4,4,4,69.296976
1963,0.51,56.0,5,4,7,83.64836000000001
7987,1.55,54.0,5,1,3,258.81702
666,0.4,58.0,3,3,3,64.943424
3189,0.73,56.0,5,7,3,119.26656
628,0.31,57.0,3,3,4,49.989744
1148,0.36,60.0,4,4,8,57.357954
14112,1.51,59.0,3,7,4,243.999216
342,0.22,61.0,4,5,3,34.715136
5206,1.03,56.0,5,2,5,171.437532
2200,0.78,56.0,4,5,2,127.57806000000002
2797,0.8,60.0,3,3,4,128.170368
6564,2.22,55.0,1,3,1,327.16051200000004
3162,0.7,58.0,5,5,5,116.04902399999997
2454,0.54,55.0,5,5,6,89.4075
1415,0.5,59.0,3,6,3,79.566049
4405,0.93,61.0,2,4,3,152.4015
1712,0.52,55.0,5,6,4,85.65648
1591,0.56,53.0,5,4,3,92.52144
3180,0.72,58.0,5,3,7,117.80031999999999
3464,0.73,56.0,5,7,4,120.093372
5851,1.15,58.0,4,4,3,186.51787000000002
574,0.3,62.0,4,4,3,49.80489
2055,0.66,62.0,2,4,5,108.45692
798,0.35,57.0,3,3,7,55.497285000000005
3696,1.2,57.0,3,3,1,199.549464
754,0.35,54.0,5,5,5,58.02119999999999
1153,0.41,57.0,5,6,5,67.4016
4355,0.97,61.0,2,2,4,152.631864
4642,0.91,56.0,5,5,2,148.47140000000002
1851,0.57,56.0,5,4,5,93.881472
764,0.3,57.0,5,4,7,50.058494999999986
561,0.32,57.0,5,4,4,52.658112
4379,0.9,58.0,3,5,3,146.690334
947,0.41,56.0,2,7,3,66.2688
6532,1.27,59.0,4,2,5,203.948316
3763,0.92,58.0,3,5,2,149.91443999999998
3301,0.71,57.0,5,6,4,115.291918
5993,1.09,57.0,4,3,4,177.50499
1719,0.55,60.0,3,6,4,89.025583
625,0.31,55.0,5,4,5,50.97276000000001
4832,1.02,57.0,5,5,2,166.505493
1007,0.41,55.0,5,5,5,67.63007999999999
2611,0.9,57.0,5,5,1,144.80286
12059,1.24,57.0,5,5,6,202.40910200000002
3662,0.9,60.0,4,6,2,147.099375
4437,1.15,57.0,2,5,2,185.65470000000002
13761,1.74,55.0,5,3,4,287.233659
487,0.28,58.0,3,5,4,44.67060000000001
3160,0.9,57.0,3,3,2,144.43044
10914,1.57,58.0,4,4,3,259.467516
454,0.25,55.0,5,4,5,40.36079999999999
5607,1.29,58.0,5,1,3,209.19672
1241,0.41,62.0,4,6,7,66.438176
767,0.35,57.0,5,6,4,58.20178
4181,0.85,57.0,5,6,3,139.557288
504,0.24,57.0,5,3,7,39.72564
8743,1.15,55.0,5,5,6,188.027802
4637,0.9,57.0,4,4,4,144.18377999999998
4875,1.24,57.0,5,1,3,202.227312
1628,0.51,57.0,3,3,5,83.03616
6189,1.21,57.0,3,3,4,195.534
2016,0.7,55.0,2,4,3,112.78272199999999
4304,0.9,57.0,3,7,3,143.392824
608,0.36,58.0,4,4,2,58.77888300000001
3199,1.02,60.0,4,3,1,163.8396
6302,1.21,57.0,5,3,4,195.534
6436,1.69,60.0,4,2,1,271.409292
561,0.32,57.0,5,4,4,52.465329
1173,0.5,56.0,5,4,3,82.611468
2276,0.7,56.0,3,3,4,114.20748
2610,0.72,58.0,3,6,3,121.374208
2973,0.75,57.0,5,4,5,124.356232
3612,1.0,55.0,4,6,2,160.08192000000003
1084,0.34,56.0,5,6,7,56.496384000000006
555,0.34,56.0,5,2,5,57.078
1294,0.49,61.5,2,5,5,82.042912
17989,2.24,59.0,5,5,2,368.61440000000005
11390,2.02,59.0,3,2,2,319.7376
1583,0.5,58.0,3,6,4,82.34934
2115,0.61,57.0,5,6,4,101.770584
1561,0.59,59.0,4,5,3,95.597814
4972,1.01,59.0,1,6,4,161.92867199999998
2423,0.7,57.0,3,5,3,113.96011199999998
3749,1.03,58.0,4,2,3,165.220314
2670,0.72,55.0,5,7,2,116.72232
615,0.34,55.0,5,3,5,56.44800000000001
559,0.32,55.0,5,4,5,53.893060000000006
2861,0.62,56.0,5,4,6,100.64842000000002
9058,1.51,59.0,3,6,2,241.864508
4427,1.04,61.0,3,5,2,167.40359999999998
5293,1.25,59.0,4,2,3,204.81623799999997
790,0.3,57.0,5,5,7,48.385400000000004
2454,0.71,57.0,3,4,4,112.956228
956,0.3,55.0,5,4,8,50.43346499999999
3024,0.72,63.0,3,4,5,119.709252
767,0.35,60.0,4,6,4,56.35084
1112,0.38,59.0,4,6,4,62.487869
781,0.33,56.0,5,7,4,54.926683999999995
3388,1.1,59.0,4,3,2,183.78632
693,0.33,56.0,3,6,3,55.0732
5967,1.0,59.0,3,4,4,157.34924100000003
421,0.3,61.0,3,3,3,47.515
